Name;Age;Rating;Nationality;Club;Position;Potential;Value;Total Stats
H. Lennon;25;62;England;Southend United;CB;66;350000;1440
D. Phillips;25;71;England;Charlton Athletic;GK;76;2300000;1146
N. Gyömbér;26;72;Slovakia;Perugia;CB;72;2900000;1444
C. Aboagye;25;71;Ghana;Club Tijuana;CAM;76;3100000;1829
E. Gliozzi;24;63;Italy;AC Monza;ST;68;500000;1560
Antonio Domínguez;26;64;Spain;LKS Lodz;LM;64;475000;1632
R. Espejord;24;62;Norway;SC Heerenveen;ST;69;425000;1484
M. Kanno;25;71;Saudi Arabia;Al Hilal;CDM;76;2800000;1953
L. Waldschmidt;24;76;Germany;Germany;CAM;83;11000000;1866
Fabrício Baiano;28;71;Brazil;Çaykur Rizespor;CB;72;2400000;1802
H. Hateboer;26;78;Netherlands;Atalanta;RM;79;12000000;2035
I. Bel Hassani;26;67;Morocco;PEC Zwolle;CAM;68;900000;1739
Joan Campins;24;65;Spain;Royal Excel Mouscron;RB;69;625000;1657
M. Diagne;26;68;Senegal;Sporting de Charleroi;CB;71;1000000;1522
J. Cristaldo;31;71;Argentina;Racing Club;ST;71;2100000;1795
M. Diagne;28;74;Senegal;Galatasaray SK;ST;74;6000000;1661
Zaldúa;28;79;Spain;Real Sociedad;RB;79;11000000;1828
S. Szmodics;24;67;England;Peterborough United;CAM;72;1000000;1842
F. Kent;24;65;England;Peterborough United;CB;72;675000;1505
S. Štefánik;25;67;Slovakia;Bruk-Bet Termalica Nieciecza;CAM;70;950000;1733
N. Orsini;25;71;Argentina;Club Atlético Lanús;ST;74;3000000;1690
J. Deza;27;71;Peru;Deportivo Binacional;RW;71;2500000;1795
Y. Baraye;28;72;Senegal;Parma;RW;72;3100000;1795
A. Balboa;25;70;Uruguay;Alianza Lima;ST;72;2200000;1581
J. Pohjanpalo;25;72;Finland;Bayer 04 Leverkusen;ST;74;3900000;1690
Wanderson;32;69;Bulgaria;Bulgaria;CF;69;0;1716
S. Janko;24;72;Switzerland;FC Porto;RB;77;3700000;1815
O. Kemen;23;69;France;Chamois Niortais Football Club;CM;77;1400000;1918
J. Denayer;25;79;Belgium;Olympique Lyonnais;CB;83;14500000;1842
Jorginho;21;68;Guinea Bissau;AS Saint-Étienne;RM;75;1300000;1662
B. Barker;23;67;England;Rangers FC;RM;72;1000000;1591
D. Boadu;22;59;England;Crawley Town;CAM;68;240000;1388
M. Jay;24;60;England;Exeter City;CAM;66;275000;1565
Marcelo Djaló;26;65;Guinea Bissau;CD Lugo;CB;69;625000;1432
D. Brooks;22;76;Wales;Bournemouth;CAM;83;11000000;1931
K. Bryan;23;63;England;Sheffield United;CB;73;550000;1666
B. Celina;23;72;Kosovo;Dijon FCO;CAM;79;4400000;1748
R. Bezjak;31;67;Slovenia;Slovenia;ST;67;0;1697
K. Lawrence;27;74;Jamaica;RSC Anderlecht;LB;74;5000000;1895
S. Heaney;22;54;Republic of Ireland;Bray Wanderers;CB;60;80000;1233
P. Bochniewicz;24;67;Poland;SC Heerenveen;CB;73;950000;1400
B. Zungu;27;72;South Africa;Amiens SC;CDM;73;3200000;1968
B. Mkhwanazi;30;69;South Africa;South Africa;CB;69;0;1562
Munir;24;79;Spain;Sevilla FC;ST;84;17000000;1969
M. Evouna;27;63;Gabon;Santa Clara;ST;64;425000;1541
J. Dinenno;25;75;Argentina;U.N.A.M.;ST;78;8500000;1723
E. Valencia;30;72;Ecuador;Fenerbahçe SK;ST;72;3000000;1912
B. Sanneh;24;69;Gambia;KV Oostende;CB;74;1300000;1637
A. Ceesay;26;60;Gambia;FC Zürich;ST;63;250000;1597
O. Marciano;30;68;Israel;Hibernian;GK;68;600000;1125
S. Nimely;21;60;Liberia;Spartak Moscow;ST;71;350000;1551
A. Romero;27;75;Paraguay;Paraguay;ST;75;7000000;1968
J. Alonso;26;75;Paraguay;Paraguay;CB;78;7500000;1846
Iza Carcelén;27;71;Spain;Cádiz CF;RB;72;2400000;1919
Alex Alegría;27;69;Spain;RCD Mallorca;ST;70;1200000;1652
A. Al Dohaim;26;59;Saudi Arabia;Al Ittihad;CB;62;170000;1512
K. Mahachi;24;70;Zimbabwe;Orlando Pirates;RM;73;2300000;1909
Aarón;24;67;Spain;Granada CF;GK;73;800000;1184
Iván Rodríguez;24;70;Spain;SD Ponferradina;RB;77;2200000;1733
S. Chakla;26;66;Morocco;Villarreal CF;CB;69;725000;1446
Mula;23;68;Spain;CF Fuenlabrada;RM;74;1200000;1692
M. Dúbravka;31;83;Slovakia;Newcastle United;GK;83;16500000;1346
Diego Rico;27;77;Spain;Bournemouth;LB;78;9000000;2001
H. Kamara;26;77;France;OGC Nice;LWB;80;9500000;1999
M. Hamzi;28;63;Saudi Arabia;Al Hazem;LM;63;375000;1660
G. Campi;29;69;Argentina;Trabzonspor;CB;69;875000;1650
C. Lenglet;25;85;France;FC Barcelona;CB;89;44500000;1930
J. Gemmer;24;58;Denmark;AC Horsens;CM;64;170000;1644
F. Mattiello;24;71;Italy;Spezia;LM;73;2900000;1942
A. Grassi;25;73;Italy;Parma;CM;77;5000000;1914
M. Caldara;26;78;Italy;Atalanta;CB;83;12000000;1617
P. Olsen;26;67;Denmark;Aarhus GF;CAM;70;925000;1804
F. Scaglia;28;68;Italy;AC Monza;CB;70;900000;1451
E. Gyasi;26;67;Ghana;Spezia;RM;68;900000;1612
A. Barreca;25;72;Italy;AS Monaco;LWB;76;3500000;1748
M. Zaccagni;25;75;Italy;Hellas Verona;CAM;80;9000000;1902
L. Venuti;25;70;Italy;Fiorentina;RB;75;2100000;1542
F. Ricci;26;72;Italy;Sassuolo;RW;72;3300000;1764
M. Bălașa;25;69;Romania;Universitatea Craiova;CB;73;1200000;1760
Y. Mina;25;78;Colombia;Everton;CB;80;11500000;1748
G. Tutino;23;72;Italy;Napoli;CAM;78;4300000;1888
L. Palmiero;24;68;Italy;Chievo Verona;CAM;73;1200000;1852
I. Łasicki;25;63;Poland;Pogoń Szczecin;CB;67;425000;1497
N. Contini;24;64;Ukraine;Napoli;GK;72;500000;1078
S. Luperto;23;71;Italy;Napoli;CB;79;3200000;1745
D. Bejarano;26;63;Bolivia;Bolivia;RM;63;0;1623
R. Quiñonez;28;64;Bolivia;Oriente Petrolero;GK;66;400000;1122
R. Ramallo;29;64;Bolivia;Always Ready;ST;64;450000;1558
E. Babayan;23;69;Armenia;Hobro IK;RM;74;1400000;1824
J. Bednarek;24;77;Poland;Southampton;CB;83;11000000;1589
T. Dejewski;25;59;Poland;Lech Poznań;CB;65;190000;1246
M. Jakóbowski;27;62;Poland;Warta Poznań;LM;62;325000;1586
F. González;27;61;Colombia;Atlético Nacional;ST;62;300000;1568
A. Lundqvist;26;66;Sweden;Houston Dynamo;LB;67;650000;1802
Jaume;29;78;Spain;Valencia CF;GK;79;8500000;1349
J. Rodríguez;24;64;Colombia;Club Necaxa;RM;71;650000;1698
V. Vada;24;72;Argentina;UD Almería;CM;76;4000000;1965
F. Hadergjonaj;25;71;Kosovo;Kasimpaşa SK;RWB;74;2600000;1805
S. Benrahma;24;77;Algeria;Brentford;CAM;80;11500000;1863
L. Acosta;25;69;Argentina;Club Atlético Lanús;GK;75;1100000;1257
D. Gray;24;75;England;Leicester City;RM;79;8500000;1794
T. Conlon;24;62;England;Port Vale;CM;66;400000;1770
Moi Delgado;26;67;Spain;CF Fuenlabrada;LWB;70;825000;1682
Luismi;28;70;Spain;Elche CF;CDM;71;1800000;1674
S. Vecchia;25;70;Sweden;IK Sirius;CAM;73;2200000;1770
Angeliño;23;80;Spain;RB Leipzig;CM;85;17500000;2152
J. Hardy;23;60;England;Walsall;RM;66;275000;1560
J. Horsfield;23;61;England;Scunthorpe United;CDM;65;300000;1650
Ailton;25;74;Brazil;VfB Stuttgart;LWB;79;6500000;1978
J. Brownhill;24;72;England;Burnley;CM;78;4200000;1967
M. Kallesøe;23;65;Denmark;Randers FC;ST;72;750000;1692
G. Wüthrich;25;67;Switzerland;SK Sturm Graz;CB;70;850000;1535
F. Okenabirhie;24;65;England;Doncaster Rovers;ST;72;775000;1705
A. Mastalli;23;65;Italy;Castellammare di Stabia;CM;69;700000;1649
R. Tapia;24;73;Peru;RC Celta;CDM;78;4900000;1968
J. Morrell;23;67;Wales;Bristol City;CM;75;1100000;1728
Léo Bonatini;26;71;Brazil;Wolverhampton Wanderers;ST;74;3000000;1836
João Afonso;25;66;Brazil;Gil Vicente FC;CB;69;725000;1708
J. Maddison;23;81;England;Leicester City;CAM;85;23000000;2071
M. Azira;32;65;Uganda;Chicago Fire;CDM;65;350000;1698
G. Silva;26;75;Uruguay;SD Huesca;LB;78;7000000;1924
B. Borrello;24;68;Australia;Fortuna Düsseldorf;RM;71;1100000;1664
H. Wilson;23;77;Wales;Liverpool;CAM;83;12000000;1957
R. Mahazi;28;64;Australia;Incheon United FC;CDM;64;400000;1615
P. Billing;24;75;Denmark;Bournemouth;CDM;81;9000000;2025
E. Ponce;23;74;Argentina;Spartak Moscow;ST;80;8000000;1837
Douglas Tanque;26;70;Brazil;FC Paços de Ferreira;ST;72;2200000;1561
J. Sornoza;26;70;Ecuador;LDU Quito;RM;73;2200000;1788
A. Živković;23;73;Serbia;PAOK;CAM;77;5000000;1896
D. Ortiz;27;67;Paraguay;Godoy Cruz;CB;69;800000;1410
R. Thomas;25;75;New Zealand;PSV;CAM;77;8000000;1962
L. Stojanović;26;64;Serbia;Chicago Fire;ST;65;525000;1725
J. Debayo;22;59;Nigeria;Cheltenham Town;LB;67;200000;1477
M. Ridenton;24;62;New Zealand;New Zealand;CM;66;0;1727
M. Ilaimaharitra;24;74;Madagascar;Sporting de Charleroi;CDM;79;7000000;1925
A. Čolak;26;72;Croatia;PAOK;ST;72;3400000;1668
D. Sánchez;24;81;Colombia;Tottenham Hotspur;CB;84;20000000;1790
A. Castro;26;67;Colombia;Cruz Azul;LM;68;900000;1715
L. Hernández;24;82;France;FC Bayern München;CB;87;26500000;2006
J. Narváez;25;69;Colombia;Real Zaragoza;CAM;74;1400000;1840
M. Diaw;27;59;France;FC Lausanne-Sport;GK;63;140000;1120
L. Vásquez;28;69;Colombia;Junior FC;CDM;69;925000;1613
E. Torregrossa;28;71;Italy;Brescia;ST;71;2400000;1711
M. Malsa;24;70;France;Levante UD;CDM;76;2400000;1875
Marco Asensio;24;82;Spain;Real Madrid;CAM;86;29000000;2023
D. Machado;26;68;Colombia;Toulouse Football Club;LB;69;925000;1791
E. Gutiérrez;25;74;Mexico;PSV;CAM;78;7000000;1977
J. Hugill;28;70;England;Norwich City;ST;70;1800000;1761
G. Kiltie;23;64;Scotland;Kilmarnock;CAM;71;625000;1646
F. Honorat;23;69;France;Stade Brestois 29;RW;75;1400000;1758
M. Cacutalua;25;66;Germany;FC Erzgebirge Aue;CB;71;775000;1570
V. Sulejmani;24;66;Kosovo;Hannover 96;ST;71;875000;1713
R. Borré;24;78;Colombia;River Plate;ST;83;14000000;2082
B. Tuiloma;25;66;New Zealand;Portland Timbers;CB;71;775000;1652
C. Baker-Richardson;23;61;England;Accrington Stanley;ST;68;350000;1347
G. Thomas;23;63;Wales;Queens Park Rangers;RM;72;575000;1705
A. Al Sulayhim;26;67;Saudi Arabia;Al Nassr;CAM;70;925000;1875
David Raya;24;74;Spain;Brentford;GK;79;5500000;1218
J. Aholou;26;74;Ivory Coast;AS Monaco;CDM;78;6500000;1873
A. Kawaya;20;64;Belgium;KV Mechelen;RM;72;675000;1715
F. Jagiełło;22;64;Poland;Genoa;CAM;72;650000;1711
G. Moncini;24;69;Italy;Benevento;ST;75;1500000;1715
A. Esiti;26;72;Nigeria;PAOK;CB;75;3500000;1687
H. Friðjónsson;27;67;Iceland;Aalesunds FK;ST;68;900000;1605
A. Schöpf  B;26;72;Austria;FC Schalke 04;RM;74;3700000;1962
L. Kalinić;30;75;Croatia;Aston Villa;GK;75;4500000;1085
J. Correa;27;70;Argentina;Clube Sport Marítimo;LM;70;1900000;1742
C. Brannagan;24;66;England;Oxford United;CAM;73;900000;1856
K. Vassell;27;65;Northern Ireland;Rotherham United;ST;66;625000;1600
J. Wildsmith;24;65;England;Sheffield Wednesday;GK;73;625000;1141
S. Sydorchuk;29;75;Ukraine;Dynamo Kyiv;CDM;75;5500000;1833
M. Konradsen;24;63;Norway;FK Bodø/Glimt;CM;70;500000;1782
A. Tahiri;25;66;Morocco;RKC Waalwijk;RM;68;775000;1648
A. El Messaoudi;24;69;Morocco;FC Groningen;CM;74;1300000;1844
N. Eliasson;24;72;Sweden;Bristol City;LM;77;4200000;1722
N. Keïta;25;81;Guinea;Liverpool;CAM;85;22500000;2078
J. Brattberg;23;60;Sweden;Falkenbergs FF;GK;65;210000;1033
O. Okungbowa;26;62;Austria;VfB Lübeck;CB;65;350000;1680
M. Diallo;25;58;Senegal;Grenoble Foot 38;ST;61;160000;1440
B. Ndiaye;29;72;Senegal;Fatih Karagümrük S.K.;CDM;72;3000000;2083
U. Saltnes;27;70;Norway;FK Bodø/Glimt;CM;71;2000000;1911
Carlos Fernández;24;76;Spain;Sevilla FC;ST;83;11000000;1779
N. Vukčević;28;75;Montenegro;Levante UD;CDM;75;6500000;1959
N. Komlichenko;25;73;Russia;Russia;ST;77;0;1822
A. Sørensen;24;69;Denmark;1. FC Nürnberg;CB;75;1300000;1638
Jaime;25;62;Spain;CE Sabadell FC;CB;67;350000;1478
E. Gómez;26;74;Argentina;Argentinos Juniors;LB;77;6000000;1892
Pau López;25;83;Spain;Roma;GK;88;25500000;1364
Dani Romera;24;67;Spain;SD Ponferradina;ST;71;1000000;1731
R. Vloet;25;65;Netherlands;Heracles Almelo;ST;68;675000;1757
S. Driussi;21;76;Argentina;Zenit St. Petersburg;CAM;83;11000000;1837
Y. Cardinale;26;68;France;OGC Nice;GK;70;775000;1218
A. Bakayoko;24;62;Sierra Leone;Coventry City;ST;68;425000;1653
Alain Oyarzun;25;68;Spain;CD Numancia;CAM;69;1100000;1793
H. Kyprianou;23;61;Cyprus;Southend United;CB;67;300000;1615
C. Dummigan;24;62;Northern Ireland;Dundalk;RB;68;375000;1530
D. Kownacki;23;71;Poland;Fortuna Düsseldorf;ST;78;3400000;1750
M. Oršić;27;76;Croatia;Dinamo Zagreb;RW;76;8000000;2055
F. Onyedinma;23;67;Nigeria;Wycombe Wanderers;RM;73;1000000;1727
T. Leibold;26;76;Germany;Hamburger SV;LB;77;8000000;2041
M. Barnes;22;60;England;Southampton;ST;67;300000;1460
G. Conti;26;72;Argentina;Club Atlas;CB;77;3700000;1592
J. Quintero;23;69;Colombia;Deportivo Cali;CB;77;1300000;1431
S. Ling B;23;59;England;Leyton Orient;RB;67;200000;1503
J. Sánchez;27;65;Mexico;Atlético de San Luis;CM;66;600000;1777
G. Poblete;27;72;Argentina;FC Metz;CDM;75;3400000;1829
R. Al Ghamdi;26;62;Saudi Arabia;Al Raed;ST;65;375000;1601
J. Riedewald;23;71;Netherlands;Crystal Palace;CB;74;2700000;1797
D. Trichard;25;61;France;Clermont Foot 63;LB;66;300000;1690
L. Kelly;24;66;Republic of Ireland;Oxford United;CAM;69;800000;1828
A. Kuhl;19;61;England;Reading;CDM;74;350000;1630
D. Hyam;24;66;Scotland;Coventry City;CB;73;825000;1510
J. Stacey;24;73;England;Bournemouth;RWB;78;4700000;1864
A. Nouri;20;75;Netherlands;Ajax;CAM;75;7500000;1784
J. Gradit;27;71;France;Racing Club de Lens;CB;74;2600000;1677
M. Barrios;29;75;Colombia;FC Dallas;RM;75;6500000;1876
A. Roa;27;74;Colombia;Independiente;LM;74;6000000;1905
J. Arango;29;72;Colombia;Deportivo Binacional;RW;72;3000000;1817
A. Pérez;25;70;Colombia;Querétaro;CB;75;2100000;1636
E. O'Connell;24;65;Republic of Ireland;Rochdale;CB;71;675000;1564
J. Onguéné;22;72;Cameroon;Cameroon;CB;80;4200000;1601
D. Maatsen;19;57;Netherlands;NAC Breda;CB;65;90000;1359
G. Guerrieri;24;62;Italy;Lazio;GK;69;325000;1071
Pablo Maffeo B;22;74;Spain;SD Huesca;RB;81;7000000;1871
M. Samuelsen;23;62;Norway;Hull City;CAM;70;450000;1547
J. Nuttall;23;61;England;Northampton Town;ST;69;375000;1548
T. Ambrose;23;68;France;FC Metz;ST;76;1300000;1703
M. Veljković;24;73;Serbia;SV Werder Bremen;CB;77;4700000;1638
N. Thomas;24;64;England;Carlisle United;LM;66;550000;1680
J. Rossiter;23;66;England;Fleetwood Town;CDM;76;950000;1683
C. Espinosa;36;66;Chile;Curicó Unido;CAM;66;220000;1540
D. van de Beek;23;83;Netherlands;Manchester United;CM;87;33000000;2171
D. Milošević;25;72;Bosnia Herzegovina;Atiker Konyaspor;CAM;75;3900000;1773
M. Al Buraik;27;73;Saudi Arabia;Al Hilal;RB;73;3600000;1941
A. Puljić;32;67;Croatia;Dinamo Bucureşti;CB;67;500000;1528
Dani Molina;23;64;Spain;RC Celta;CAM;73;650000;1717
J. Araya;23;63;Chile;CD Palestino;CM;70;500000;1703
Fabiano B;28;71;Brazil;Denizlispor;CB;71;2100000;1815
S. Ingason;26;73;Iceland;PAOK;CB;75;4300000;1741
U. Đurđević;26;69;Serbia;Real Sporting de Gijón;ST;72;1300000;1741
O. Govea;24;70;Mexico;SV Zulte-Waregem;CM;75;2300000;1945
Wu Lei;28;78;China PR;RCD Espanyol;ST;78;10500000;1941
Nano Mesa;25;69;Spain;Cádiz CF;ST;74;1400000;1766
R. Burke;23;69;England;Hull City;CB;75;1300000;1573
L. Villagra;29;65;Paraguay;Nacional Asunción;ST;65;550000;1644
E. Hernández;33;65;Uruguay;Centro Atlético Fénix;GK;65;300000;1099
Lee Chang Min;25;70;Korea Republic;Jeju United FC;CM;73;2200000;1825
F. Arancibia;22;68;Chile;CD O'Higgins;LM;77;1400000;1608
D. Calvert-Lewin;23;79;England;Everton;ST;84;17000000;1934
D. O'Shaughnessy;25;63;Finland;HJK Helsinki;CB;68;450000;1435
R. Hollingshead;29;70;United States;FC Dallas;LB;70;1500000;1903
J. Flores;22;67;Chile;CD Antofagasta;RM;75;1100000;1603
N. Elvedi;23;78;Switzerland;Borussia Mönchengladbach;CB;84;13000000;1785
D. Gardner;30;61;England;Wigan Athletic;CAM;61;230000;1716
E. Markkanen;27;65;Finland;Finland;ST;65;0;1547
T. Väyrynen;27;61;Finland;HJK Helsinki;ST;62;300000;1487
R. Dekker;24;67;Netherlands;PEC Zwolle;CDM;71;900000;1784
S. Nelson;24;62;England;Tranmere Rovers;CB;67;375000;1384
N. Konstandopoulos;24;59;Australia;Adelaide United;RM;62;190000;1612
M. Maroši;26;67;Slovakia;Coventry City;GK;71;725000;1175
G. O'Neill;25;63;Republic of Ireland;Shamrock Rovers;CDM;68;450000;1721
C. Telfer;19;62;Scotland;Dundee United;CAM;76;575000;1695
W. Nightingale;24;62;England;AFC Wimbledon;CB;69;375000;1526
Raúl;30;76;Brazil;SC Braga;CB;76;6000000;1790
E. Mammana;21;77;Argentina;Zenit St. Petersburg;CDM;88;13500000;1890
S. Nilsen;28;69;Norway;IF Elfsborg;CDM;69;925000;1794
V. Kjartansson;30;71;Iceland;Vålerenga Fotball;ST;71;2300000;1680
O. Mfulu;26;65;DR Congo;Elche CF;CDM;67;650000;1749
B. Angulo;24;65;Colombia;América de Cali;RM;67;675000;1690
N. Leiva;23;69;Spain;Real Oviedo;CAM;75;1400000;1694
Sim Sang Min;27;66;Korea Republic;Sangju Sangmu FC;LWB;67;650000;1713
J. Rinne;27;73;Sweden;Aalborg BK;GK;76;3500000;1198
J. Lolley;27;75;England;Nottingham Forest;RM;75;7000000;1930
M. Clarke;23;71;England;Derby County;CB;79;3200000;1658
A. Jeremejeff;26;67;Sweden;FC Twente;ST;69;925000;1516
D. Dibusz;29;73;Hungary;Hungary;GK;73;0;989
Juan Delgado;24;63;Spain;Levante UD;ST;67;500000;1528
L. Mousset;24;74;France;Sheffield United;ST;78;7500000;1735
V. Cabrera;27;69;Argentina;Houston Dynamo;CB;70;1100000;1623
S. Birnbaum;29;70;United States;DC United;CB;71;1700000;1493
P. Mullins;28;64;United States;Toronto FC;ST;64;475000;1519
B. Sørmo;23;65;Norway;Kristiansund BK;RB;71;650000;1667
L. Acosta;26;73;Argentina;Club Atlas;CAM;74;4700000;1873
Mariano;26;77;Dominican Republic;Real Madrid;ST;78;10500000;2003
W. Kanon;26;71;Ivory Coast;Côte d'Ivoire;CB;73;0;1633
Kim Do Hyeok;28;66;Korea Republic;Incheon United FC;CM;66;650000;1798
Kim Yong Hwan;27;66;Korea Republic;Sangju Sangmu FC;RB;67;650000;1655
Y. Barnawi;26;64;Saudi Arabia;Al Taawoun;RB;65;450000;1628
Ahn Yong Woo;28;66;Korea Republic;Sagan Tosu;RM;66;650000;1691
T. Akindele;28;67;Canada;Orlando City SC;ST;67;800000;1620
V. Lindelöf;25;80;Sweden;Manchester United;CDM;84;17000000;1970
S. Skrabb;25;65;Finland;Brescia;LM;67;675000;1870
W. Cartagena;25;65;Peru;Godoy Cruz;CDM;70;650000;1741
R. Lindkvist;30;65;Sweden;AIK;LB;65;425000;1804
Lee Jae Sung;27;74;Korea Republic;Holstein Kiel;CAM;74;6000000;1882
N. Hagglund;27;65;United States;FC Cincinnati;CB;66;550000;1513
B. Sweat;28;67;United States;Inter Miami;LB;67;650000;1776
C. Bishop;23;65;England;Accrington Stanley;ST;71;750000;1618
G. Donsah;24;70;Ghana;Bologna;CM;76;2400000;1982
T. McNamara;29;64;United States;New England Revolution;CAM;64;450000;1707
O. Watkins;24;76;England;Aston Villa;ST;81;10500000;1919
No Dong Geon;28;69;Korea Republic;Suwon Samsung Bluewings;GK;72;950000;1156
Gabriel Boschilia;23;75;Brazil;AS Monaco;CAM;79;8500000;1874
Ewandro;22;70;Brazil;FK Austria Wien;LW;79;2700000;1692
K. Dempsey;24;63;England;Gillingham;RM;68;475000;1716
T. Thompson;24;67;United States;San Jose Earthquakes;RM;70;850000;1780
C. Duvall;28;66;United States;Portland Timbers;RB;66;550000;1706
D. Lovitz;28;68;United States;Nashville SC;LB;68;775000;1859
A. Morelos;24;75;Colombia;Rangers FC;ST;82;9500000;1879
J. Pereira;27;67;Colombia;Millonarios FC;RM;67;800000;1765
E. Crivelli;25;75;France;Medipol Başakşehir FK;ST;79;8500000;1776
Hélder Costa;26;73;Portugal;Leeds United;RM;74;4700000;1768
André Geraldes;29;74;Portugal;Sporting CP;RB;74;4600000;1827
M. Sobottka;26;71;Germany;Fortuna Düsseldorf;CDM;73;2600000;1821
Lee Gwang Hyeok;24;67;Korea Republic;Pohang Steelers;LM;70;975000;1721
K. Choi;25;64;Korea Republic;Karlsruher SC;CAM;67;575000;1572
Fernando Karanga;29;71;Brazil;Henan Jianye FC;ST;71;2400000;1646
Gwon Wan Gyu;28;66;Korea Republic;Pohang Steelers;RB;66;550000;1638
R. Kurzawa;27;70;Poland;Amiens SC;LM;70;1900000;1859
P. Twumasi;26;71;Ghana;Hannover 96;LM;72;2800000;1723
Wescley;26;68;Brazil;Vissel Kobe;CAM;68;950000;1732
E. Thommy;25;75;Germany;VfB Stuttgart;LM;76;8000000;1830
Zhang Xizhe;29;70;China PR;China PR;CAM;70;1700000;1846
Piao Cheng;30;67;China PR;Beijing Sinobo Guoan FC;CM;67;700000;1859
T. Dierßen;22;62;Germany;Hannover 96;RW;70;450000;1641
L. Olaza;25;77;Uruguay;RC Celta;LB;80;10000000;2093
M. Jojić;28;70;Serbia;Medipol Başakşehir FK;CAM;70;1800000;1964
A. Armstrong;23;73;England;Blackburn Rovers;ST;81;6000000;1933
Shao Puliang;30;62;China PR;Shijiazhuang Ever Bright F.C.;GK;62;200000;1091
Han Rongze;27;61;China PR;Shandong Luneng TaiShan FC;GK;65;230000;1134
Wang Tong;27;65;China PR;Shandong Luneng TaiShan FC;RB;65;475000;1693
Lee Ju Yong;27;63;Korea Republic;Jeonbuk Hyundai Motors;LB;63;325000;1745
C. Gruezo;25;72;Ecuador;FC Augsburg;CDM;79;3900000;1797
A. Gomaa;24;71;Egypt;Egypt;LB;75;0;1917
P. Seguin;25;71;Germany;SpVgg Greuther Fürth;CDM;75;2800000;1797
J. Fulton;26;71;Scotland;Swansea City;CDM;75;2700000;1801
A. Koryan;22;64;Russia;Lokomotiv Moscow;RM;72;675000;1624
D. Avdijaj;22;68;Kosovo;Heart of Midlothian;CAM;73;1200000;1726
C. Donaldson;25;65;Scotland;Ross County FC;CB;71;650000;1426
B. Ould-Chikh;22;64;Morocco;ADO Den Haag;CAM;68;600000;1573
L. Morgan;23;68;Scotland;Inter Miami;RM;74;1200000;1774
J. Staněk;24;66;Czech Republic;Viktoria Plzeň;GK;74;725000;1059
Kang Hyeon Mu;25;70;Korea Republic;Pohang Steelers;GK;74;1700000;1146
A. Zeneli;25;74;Kosovo;Stade de Reims;CAM;77;7000000;1824
Vigaray;25;74;Spain;Real Zaragoza;RB;77;6000000;1835
K. Fisker;31;67;Denmark;Brøndby IF;LM;67;650000;1853
P. Žulj;27;71;Austria;RSC Anderlecht;CM;72;2700000;1926
S. Scougall;26;65;Scotland;Carlisle United;LM;66;625000;1753
P. Michorl;25;73;Austria;LASK Linz;CM;77;5000000;1988
F. Mladenović;28;71;Serbia;Legia Warszawa;LB;71;2000000;1916
P. Roberts;23;73;England;Manchester City;CAM;81;6000000;1687
M. Sánchez;20;65;Argentina;Club Atlético Lanús;CAM;79;1200000;1651
J. Hardeveld;25;64;Netherlands;Heracles Almelo;CB;68;500000;1667
F. Aliti;26;63;Kosovo;Kalmar FF;CB;68;425000;1526
H. Lozano;24;80;Mexico;Napoli;CAM;83;19000000;1993
Núrio Fortuna;25;75;Angola;KAA Gent;LWB;78;7500000;1983
L. Di Plácido;26;72;Argentina;Club Atlético Lanús;RWB;75;3400000;1919
T. Casali;24;63;Austria;SCR Altach;GK;68;375000;907
J. Weigl;24;79;Germany;SL Benfica;CDM;82;14500000;1916
T. Mokeke;29;67;South Africa;South Africa;CDM;67;0;1733
E. Agüero;25;61;Argentina;River Plate Asunción;CDM;65;325000;1686
L. Boyé;24;69;Argentina;Elche CF;ST;74;1400000;1809
C. Halkett;24;71;Scotland;Heart of Midlothian;CB;78;3000000;1763
Lee Myung Jae;26;65;Korea Republic;Sangju Sangmu FC;LM;67;575000;1658
Mosquito;21;67;Brazil;Arsenal de Sarandí;ST;81;1700000;1610
Nathan;23;71;Brazil;Chelsea;CAM;76;3200000;1708
M. Locatelli;22;78;Italy;Sassuolo;CDM;84;13000000;1983
B. Jamieson;21;64;United States;LA Galaxy;RW;74;725000;1615
J. Onomah;23;67;England;Fulham;CAM;76;1200000;1771
N. Sandberg;25;66;Norway;FK Haugesund;LM;68;775000;1807
T. Golley;29;61;Germany;1. FC Saarbrücken;RM;61;250000;1551
C. Burton;23;59;England;Cambridge United;GK;65;160000;1063
H. Lewis;22;62;England;Southampton;GK;74;425000;1055
T. Adarabioyo;22;70;England;Manchester City;CB;81;2800000;1546
C. Cadden;23;67;Scotland;Columbus Crew SC;RM;74;950000;1838
D. Ramírez;24;67;Mexico;Club León;RM;73;1000000;1681
Zhang Chenglin;33;61;China PR;Wuhan Zall;CB;61;120000;1552
A. Long;27;75;United States;New York Red Bulls;CB;78;7000000;1776
A. Koselev;26;69;Moldova;Fortuna Sittard;GK;71;925000;961
T. Hamed;31;76;Egypt;Egypt;CDM;76;0;1968
O. Duda;25;75;Slovakia;1. FC Köln;CAM;79;8500000;1962
J. Bree;22;67;England;Luton Town;RB;76;1100000;1645
Y. Koné;24;76;Mali;Elche CF;LB;81;9000000;1891
E. Hansson;22;69;Sweden;Fortuna Sittard;RM;77;1500000;1674
L. Salvesen;24;64;Norway;Strømsgodset IF;ST;70;625000;1613
